YEAR, SELECT CONTRIBUTORS TO NON-CO2 GHGS - SSP1-1.9, SELECT CONTRIBUTORS TO NON-CO2 GHGS - SSP1-2.6, SELECT CONTRIBUTORS TO NON-CO2 GHGS - SSP2-4.5, SELECT CONTRIBUTORS TO NON-CO2 GHGS - SSP3-7.0, SELECT CONTRIBUTORS TO NON-CO2 GHGS - SSP5-8.5
2018,,410.769230769232,335.5932203389833,439.5604395604408,421.9780219780233
2019,413.1868131868146,409.560439560441,335.5932203389833,439.5604395604408,421.9780219780233
2020,421.9780219780233,408.560439560441,332.2033898305087,439.5604395604408,421.9780219780233
2021,421.9780219780233,407.560439560441,335.5932203389833,448.3516483516496,421.9780219780233
2022,421.9780219780233,406.769230769232,338.9830508474579,448.3516483516496,421.9780219780233
2023,413.1868131868146,405.769230769232,338.9830508474579,457.1428571428584,421.9780219780233
2024,413.1868131868146,404.978021978023,338.9830508474579,457.1428571428584,421.9780219780233
2025,404.3956043956058,403.978021978023,342.3728813559325,457.1428571428584,421.9780219780233
2026,404.3956043956058,402.978021978023,349.1525423728816,465.9340659340671,430.7692307692321
2027,395.604395604397,401.186813186815,359.3220338983053,465.9340659340671,430.7692307692321
2028,395.604395604397,400.395604395606,362.7118644067799,474.7252747252759,439.5604395604408
2029,386.8131868131883,395.604395604397,372.8813559322036,474.7252747252759,448.3516483516496
2030,378.0219780219795,395.604395604397,376.2711864406782,483.5164835164846,448.3516483516496
2031,369.2307692307708,386.8131868131883,383.0508474576274,483.5164835164846,457.1428571428584
2032,351.6483516483532,386.8131868131883,393.2203389830511,492.3076923076934,457.1428571428584
2033,340.274725274727,378.0219780219795,396.6101694915257,492.3076923076934,465.9340659340671
2034,334.0659340659357,369.2307692307708,406.7796610169494,501.0989010989022,474.7252747252759
2035,325.274725274727,369.2307692307708,416.9491525423731,501.0989010989022,474.7252747252759
2036,316.4835164835182,,430.5084745762714,509.8901098901109,492.3076923076934
2037,307.6923076923094,360.439560439562,444.0677966101697,509.8901098901109,492.3076923076934
2038,,360.439560439562,450.8474576271188,518.6813186813197,501.0989010989022
2039,298.9010989011007,351.6483516483532,457.627118644068,518.6813186813197,509.8901098901109
2040,298.9010989011007,351.6483516483532,467.7966101694917,527.4725274725284,518.6813186813197
2041,281.3186813186832,342.8571428571445,477.9661016949154,536.2637362637372,501.0989010989022
2042,290.1098901098919,342.8571428571445,488.1355932203392,536.2637362637372,536.2637362637372
2043,,334.0659340659357,501.6949152542375,536.2637362637372,536.2637362637372
2044,281.3186813186832,334.0659340659357,511.8644067796612,536.2637362637372,545.054945054946
2045,,334.0659340659357,511.8644067796612,545.054945054946,553.8461538461547
2046,263.7362637362656,325.274725274727,522.0338983050849,545.054945054946,553.8461538461547
2047,272.5274725274744,325.274725274727,525.4237288135595,553.8461538461547,562.6373626373635
2048,272.5274725274744,325.274725274727,532.2033898305086,553.8461538461547,562.6373626373635
2049,,316.4835164835182,535.5932203389832,562.6373626373635,571.4285714285722
2050,263.7362637362656,316.4835164835182,538.9830508474578,562.6373626373635,571.4285714285722
2051,263.7362637362656,316.4835164835182,545.7627118644069,571.4285714285722,580.219780219781
2052,263.7362637362656,307.6923076923094,552.5423728813561,571.4285714285722,580.219780219781
2053,,307.6923076923094,559.3220338983052,580.219780219781,589.0109890109898
2054,246.1538461538481,307.6923076923094,559.3220338983052,580.219780219781,589.0109890109898
2055,254.9450549450569,307.6923076923094,559.3220338983052,580.219780219781,589.0109890109898
2056,254.9450549450569,298.9010989011007,562.7118644067798,589.0109890109898,589.0109890109898
2058,,298.9010989011007,566.1016949152544,597.8021978021985,589.0109890109898
2059,,298.9010989011007,569.491525423729,597.8021978021985,589.0109890109898
2060,,298.9010989011007,569.491525423729,597.8021978021985,597.8021978021985
2061,,298.9010989011007,569.491525423729,606.5934065934073,597.8021978021985
2062,,290.1098901098919,572.8813559322035,606.5934065934073,597.8021978021985
2063,,290.1098901098919,572.8813559322035,606.5934065934073,597.8021978021985
2064,,290.1098901098919,572.8813559322035,615.384615384616,597.8021978021985
2065,,281.3186813186832,569.491525423729,624.1758241758248,597.8021978021985
2066,,281.3186813186832,569.491525423729,624.1758241758248,597.8021978021985
2067,,281.3186813186832,569.491525423729,632.9670329670336,597.8021978021985
2068,,281.3186813186832,569.491525423729,632.9670329670336,597.8021978021985
2069,,272.5274725274744,569.491525423729,632.9670329670336,597.8021978021985
2070,,272.5274725274744,569.491525423729,641.7582417582423,597.8021978021985
2071,,272.5274725274744,569.491525423729,641.7582417582423,597.8021978021985
2072,228.5714285714306,272.5274725274744,569.491525423729,650.5494505494511,597.8021978021985
2073,237.3626373626394,263.7362637362656,562.7118644067798,650.5494505494511,597.8021978021985
2074,237.3626373626394,263.7362637362656,559.3220338983052,659.3406593406598,589.0109890109898
2075,237.3626373626394,263.7362637362656,555.9322033898306,659.3406593406598,589.0109890109898
2076,237.3626373626394,254.9450549450569,549.1525423728815,668.1318681318686,589.0109890109898
2077,237.3626373626394,254.9450549450569,549.1525423728815,676.9230769230774,580.219780219781
2078,228.5714285714306,254.9450549450569,545.7627118644069,676.9230769230774,580.219780219781
2079,228.5714285714306,254.9450549450569,538.9830508474578,676.9230769230774,580.219780219781
2080,228.5714285714306,246.1538461538481,535.5932203389832,685.7142857142861,571.4285714285722
2081,,246.1538461538481,528.813559322034,685.7142857142861,571.4285714285722
2082,,246.1538461538481,522.0338983050849,694.5054945054949,571.4285714285722
2083,220.989010989013,246.1538461538481,515.2542372881358,694.5054945054949,562.6373626373635
2084,219.7802197802218,246.1538461538481,508.4745762711866,703.2967032967036,553.8461538461547
2085,219.7802197802218,246.1538461538481,501.6949152542375,703.2967032967036,553.8461538461547
2086,219.7802197802218,246.1538461538481,494.9152542372883,703.2967032967036,545.054945054946
2087,219.7802197802218,246.1538461538481,488.1355932203392,712.0879120879124,536.2637362637372
2088,219.7802197802218,237.3626373626394,481.35593220339,712.0879120879124,536.2637362637372
2089,,237.3626373626394,474.5762711864409,720.8791208791212,527.4725274725284
2090,,237.3626373626394,467.7966101694917,720.8791208791212,527.4725274725284
2091,215.197802197804,237.3626373626394,467.7966101694917,720.8791208791212,518.6813186813197
2092,210.9890109890131,237.3626373626394,464.4067796610171,729.6703296703299,518.6813186813197
2093,210.9890109890131,237.3626373626394,461.0169491525426,729.6703296703299,518.6813186813197
2094,210.9890109890131,237.3626373626394,457.627118644068,738.4615384615387,518.6813186813197
