YEAR,91_GRAPH_CASUALTIES CAUSED BY TROPICAL CYCLONES AFFECTING HONG KONG DURING 1960-2012
1960,45.1794871794862
1961,10.1923076923063
1962,126.9871794871793
1963,3.2692307692301
1964,78.0512820512806
1965,7.461538461537
1967,0.0
1968,0.0
1969,0.0
1970,2.0
1971,118.012820512819
1972,3.0
1973,3.0
1974,3.0
1975,4.7435897435884
1976,38.9102564102549
1978,4.3974358974345
1979,18.9102564102549
1980,2.0
1981,0.0
1982,0.0
1983,12.4999999999986
1984,0.0
1985,2.0
1986,3.0
1987,0.0
1988,2.0
1989,4.0
1990,3.0
1991,0.0
1992,2.0
1994,1.0
1995,3.0
1996,2.0
1997,1.0
1998,1.0
1999,5.0
2000,2.0
2001,3.0
2002,0.0
2003,1.0
2004,0.0
2005,2.0
2006,1.0
2007,1.0
2008,2.0
2009,4.0
2010,4.0
2011,0.0
2012,1.0
